layer	context	tissue	intervention	rank	mark	rev_beta
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	20	DEFB132	-0.7572345245818454
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	21	APOC1	0.7522022865492637
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	22	FAM171A2	-0.7444476795392503
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	23	SULT1A2	-0.743906496608384
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	24	SEL1L2	-0.7438627194368399
transcriptome	adipose/low-cal-diet	adipose	low-cal-diet	25	GRIN2B	-0.7427024657084149
transcriptome	adipose/diet+exercise	adipose	diet+exercise	1	PIK3R1	-1.251421920583623
transcriptome	adipose/diet+exercise	adipose	diet+exercise	2	RASGRP1	1.20601895631031
transcriptome	adipose/diet+exercise	adipose	diet+exercise	3	ADORA1	-1.0268628620041689
transcriptome	adipose/diet+exercise	adipose	diet+exercise	4	IGDCC4	1.0127375039183744
transcriptome	adipose/diet+exercise	adipose	diet+exercise	5	AGFG1	-0.9922598690830812
transcriptome	adipose/diet+exercise	adipose	diet+exercise	6	BBOX1	-0.9799041475702686
transcriptome	adipose/diet+exercise	adipose	diet+exercise	7	NKX2-6	-0.9664968897048024
transcriptome	adipose/diet+exercise	adipose	diet+exercise	8	P2RY2	-0.9624936369865542
transcriptome	adipose/diet+exercise	adipose	diet+exercise	9	CYP2C18	-0.9568082259207152
transcriptome	adipose/diet+exercise	adipose	diet+exercise	10	SPTA1	-0.9530792221481784
transcriptome	adipose/diet+exercise	adipose	diet+exercise	11	TGM5	-0.9404291457687604
transcriptome	adipose/diet+exercise	adipose	diet+exercise	12	TMEM182	-0.9203444580483966
transcriptome	adipose/diet+exercise	adipose	diet+exercise	13	FAT2	-0.9160658744447652
transcriptome	adipose/diet+exercise	adipose	diet+exercise	14	DSEL	-0.8708183168920436
transcriptome	adipose/diet+exercise	adipose	diet+exercise	15	STC1	-0.8669858463469694
transcriptome	adipose/diet+exercise	adipose	diet+exercise	16	PDE5A	0.860237243531092
transcriptome	adipose/diet+exercise	adipose	diet+exercise	17	SLC27A2	0.8574501690336381
transcriptome	adipose/diet+exercise	adipose	diet+exercise	18	ZNF443	-0.8500689960099093
transcriptome	adipose/diet+exercise	adipose	diet+exercise	19	ADAMTS14	-0.845478857867042
