layer	feature	k	pooled_beta	ci_halfwidth	mde	inconclusive	Q	df	I2	tau2	n_genes_median	n_genes_min
transcriptome	arch_nsig	9	-0.02872180025017442	0.01087825559539299	0.01087825559539299	False	3.399335104594146	8	0.0	0.0	18615	14009
transcriptome	arch_str	9	0.000773347200533379	0.005468626697387284	0.005468626697387284	False	3.4588869164576677	8	0.0	0.0	18615	14009
transcriptome	causal_nonEGFR	9	-0.0036167576581104493	0.0033785316013031598	0.0033785316013031598	False	3.2506685025124407	8	0.0	0.0	18615	14009
transcriptome	has_arch	9	0.012291470354346468	0.008514696019680029	0.008514696019680029	False	2.055201898922852	8	0.0	0.0	18615	14009
transcriptome	is_enzyme	9	-0.0019102644257512774	0.010153641534554286	0.010153641534554286	False	22.532626412398464	8	64.49592757816266	0.00010534535558339852	18615	14009
transcriptome	is_membrane	9	0.006481018799064801	0.021429970722347386	0.021429970722347386	False	95.19556106484396	8	91.59624680971136	0.0006410526735447918	18615	14009
transcriptome	is_secreted	9	0.012320708800577708	0.02055171346391186	0.02055171346391186	False	78.04332638626616	8	89.74928367301395	0.000525657351646599	18615	14009
transcriptome	loeuf	9	-0.005369353114640234	0.013178794711860823	0.013178794711860823	False	35.20383931066644	8	77.2752058961476	0.0002146921578835359	18615	14009
transcriptome	loeuf_miss	9	-0.019110486757258995	0.02652563363967387	0.02652563363967387	False	82.76893196959713	8	90.33453759807053	0.0009769167944372746	18615	14009
transcriptome	n_drug_log	9	0.020347197525706236	0.009761200809560227	0.009761200809560227	False	18.941771565195143	8	57.765302086634144	8.494503484547258e-05	18615	14009
transcriptome	n_gwas_log	9	0.009921690655227602	0.01947575659469107	0.01947575659469107	False	90.08514594979329	8	91.1195126392329	0.000630005503572288	18615	14009
transcriptome	tau	9	0.025602103322108823	0.03526800512070435	0.03526800512070435	False	254.97053192531405	8	96.86238251158241	0.002084554577160393	18615	14009
transcriptome	tau_miss	9	-0.0037915038465879737	0.013826856798842886	0.013826856798842886	False	33.0626331504232	8	75.80350009146927	0.000279530879281854	18615	14009
proteome	arch_nsig	3	-0.138849885919445	0.45010247924871283	0.45010247924871283	True	3.4769473645204707	2	42.478277916760085	0.019601215925929578	1463	1274
proteome	arch_str	3	-0.1441894706714377	0.4114766318819915	0.4114766318819915	True	14.132937102080096	2	85.8486598676956	0.023805399714244488	1463	1274
proteome	causal_nonEGFR	3	0.00970802125992551	0.07883336703264303	0.07883336703264303	False	3.584941611030917	2	44.21108578600078	0.000402503930057333	1463	1274
proteome	has_arch	3	0.24127326000326857	0.8146195799480915	0.8146195799480915	True	5.539464422469045	2	63.89542657070516	0.09271134661357983	1463	1274
proteome	is_enzyme	3	-0.02176769826526633	0.136347460888565	0.136347460888565	True	8.76727599571828	2	77.18789734717203	0.002152225375131836	1463	1274
proteome	is_membrane	3	-0.07873149314648958	0.19052388107147508	0.19052388107147508	True	12.435014045994736	2	83.9163832658139	0.004091299205457203	1463	1274
proteome	is_secreted	3	0.01682928328882348	0.18504071629441243	0.18504071629441243	True	15.420637528307065	2	87.03036760750858	0.005296604287236167	1463	1274
proteome	loeuf	3	0.046665685681800836	0.3455579885125929	0.3455579885125929	True	43.95390584568008	2	95.44977866808493	0.014334344760213504	1463	1274
proteome	loeuf_miss	3	-0.009172224719773654	0.3636472083479346	0.3636472083479346	True	6.0196502249570685	2	66.77547822117415	0.014865225958730792	1463	1274
proteome	n_drug_log	3	0.025426882868852276	0.035920659103999115	0.035920659103999115	False	0.7848297229560455	2	0.0	0.0	1463	1274
proteome	n_gwas_log	3	0.005191455972476659	0.08851299455219987	0.08851299455219987	False	3.892774589527261	2	48.62276368684167	0.0005701457465978744	1463	1274
proteome	tau	3	0.024297545040213392	0.2730014616094114	0.2730014616094114	True	37.48499582096839	2	94.66453188483153	0.010844680705493326	1463	1274
proteome	tau_miss	3	-0.028409816347095634	0.18164943253663976	0.18164943253663976	True	0.6095181627309526	2	0.0	0.0	1463	1274
