a	b	tis_a	tis_b	kind	tissue	rho
adi-dietEx	bld-exer	adipose	blood	cross	cross	0.008317035935374228
adi-dietEx	bld-diet	adipose	blood	cross	cross	-0.0018676578362804871
adi-RYGB	adi-diet2	adipose	adipose	within	adipose	0.09786339295295492
adi-RYGB	adi-dose	adipose	adipose	within	adipose	0.37602175764066464
adi-RYGB	adi-metformin	adipose	adipose	within	adipose	0.10365482531370793
adi-RYGB	adi-endur	adipose	adipose	within	adipose	0.05016949800810611
adi-RYGB	mus-mtfRT	adipose	muscle	cross	cross	-0.17232607738297231
adi-RYGB	mus-exer	adipose	muscle	cross	cross	-0.05980221684147597
adi-RYGB	mus-bari	adipose	muscle	cross	cross	0.03259698605233463
adi-RYGB	bld-bari	adipose	blood	cross	cross	0.18835869245815476
adi-RYGB	bld-glp1	adipose	blood	cross	cross	-0.08572982910452887
adi-RYGB	bld-exer	adipose	blood	cross	cross	-0.03715606961454495
adi-RYGB	bld-diet	adipose	blood	cross	cross	0.023185472685165725
adi-diet2	adi-dose	adipose	adipose	within	adipose	0.2754827110273684
adi-diet2	adi-metformin	adipose	adipose	within	adipose	0.11734473623841994
adi-diet2	adi-endur	adipose	adipose	within	adipose	0.14289390297717453
adi-diet2	mus-mtfRT	adipose	muscle	cross	cross	-0.11502568013241322
adi-diet2	mus-exer	adipose	muscle	cross	cross	-0.13572675985586563
adi-diet2	mus-bari	adipose	muscle	cross	cross	0.26807060900111723
adi-diet2	bld-bari	adipose	blood	cross	cross	0.3976565410044876
adi-diet2	bld-glp1	adipose	blood	cross	cross	0.06759189395482172
adi-diet2	bld-exer	adipose	blood	cross	cross	-0.04466895941840212
adi-diet2	bld-diet	adipose	blood	cross	cross	0.05852739109441938
adi-dose	adi-metformin	adipose	adipose	within	adipose	0.12000200439876794
adi-dose	adi-endur	adipose	adipose	within	adipose	0.08653231358327604
adi-dose	mus-mtfRT	adipose	muscle	cross	cross	-0.08098582716158118
adi-dose	mus-exer	adipose	muscle	cross	cross	-0.06557956899734489
adi-dose	mus-bari	adipose	muscle	cross	cross	0.05942809006902838
adi-dose	bld-bari	adipose	blood	cross	cross	0.15047490276572284
adi-dose	bld-glp1	adipose	blood	cross	cross	0.027478582010851977
adi-dose	bld-exer	adipose	blood	cross	cross	-0.01795599736871393
adi-dose	bld-diet	adipose	blood	cross	cross	0.025701629917967973
adi-metformin	adi-endur	adipose	adipose	within	adipose	-0.05252546962493219
adi-metformin	mus-mtfRT	adipose	muscle	cross	cross	-0.048685928550633334
adi-metformin	mus-exer	adipose	muscle	cross	cross	-0.041203220081448305
adi-metformin	mus-bari	adipose	muscle	cross	cross	0.04642770302340056
adi-metformin	bld-bari	adipose	blood	cross	cross	-0.006500365607963953
adi-metformin	bld-glp1	adipose	blood	cross	cross	0.08801065603670281
adi-metformin	bld-exer	adipose	blood	cross	cross	-0.023567148232013523
adi-metformin	bld-diet	adipose	blood	cross	cross	0.0967844698618802
adi-endur	mus-mtfRT	adipose	muscle	cross	cross	0.033470180050264885
adi-endur	mus-exer	adipose	muscle	cross	cross	-0.03289575247160712
adi-endur	mus-bari	adipose	muscle	cross	cross	0.06062533205686283
adi-endur	bld-bari	adipose	blood	cross	cross	0.1932531059852476
adi-endur	bld-glp1	adipose	blood	cross	cross	-0.008050229216242679
adi-endur	bld-exer	adipose	blood	cross	cross	-0.03139879800268995
adi-endur	bld-diet	adipose	blood	cross	cross	0.008355667430463676
mus-mtfRT	mus-exer	muscle	muscle	within	muscle	0.2968139798632681
mus-mtfRT	mus-bari	muscle	muscle	within	muscle	-0.08747797957108813
mus-mtfRT	bld-bari	muscle	blood	cross	cross	-0.09663329499351084
mus-mtfRT	bld-glp1	muscle	blood	cross	cross	0.021815748774266074
mus-mtfRT	bld-exer	muscle	blood	cross	cross	0.018205574048086846
mus-mtfRT	bld-diet	muscle	blood	cross	cross	-0.021820571004182335
mus-exer	mus-bari	muscle	muscle	within	muscle	-0.0425738383361666
mus-exer	bld-bari	muscle	blood	cross	cross	-0.16871840720665313
mus-exer	bld-glp1	muscle	blood	cross	cross	-0.06553691951325262
mus-exer	bld-exer	muscle	blood	cross	cross	0.00855800118954951
mus-exer	bld-diet	muscle	blood	cross	cross	-0.022279953118548346
mus-bari	bld-bari	muscle	blood	cross	cross	0.21152603406648482
mus-bari	bld-glp1	muscle	blood	cross	cross	-0.012164083935823682
mus-bari	bld-exer	muscle	blood	cross	cross	-0.004429673477574572
mus-bari	bld-diet	muscle	blood	cross	cross	0.1176817979194764
bld-bari	bld-glp1	blood	blood	within	blood	-0.12935461911412027
bld-bari	bld-exer	blood	blood	within	blood	-0.04653753502081903
bld-bari	bld-diet	blood	blood	within	blood	-0.06483052187963195
bld-glp1	bld-exer	blood	blood	within	blood	0.003093923606738871
bld-glp1	bld-diet	blood	blood	within	blood	0.09074185046009085
bld-exer	bld-diet	blood	blood	within	blood	-0.06503271664497817
