mode	feature	k	pooled_beta	ci_halfwidth	I2
unadjusted	arch_nsig	9	-0.008876329289502258	0.018807592408902188	10.323217958234206
unadjusted	arch_str	9	0.005549075264515048	0.006370118652556794	0.0
unadjusted	causal_nonEGFR	9	-0.0028747281939594796	0.00432994293195173	0.0
unadjusted	has_arch	9	0.003500103685155921	0.015523770927317727	0.0
unadjusted	is_enzyme	9	-0.0017063484972309221	0.014149965790391008	82.16412457575993
unadjusted	is_membrane	9	0.021044308299405828	0.022414454546052516	92.45650580280407
unadjusted	is_secreted	9	0.03575804568889987	0.0246685342421529	92.136863688233
unadjusted	loeuf	9	0.005131715820402586	0.0076283504051794515	36.63409175391931
unadjusted	loeuf_miss	9	-0.00020540455635016352	0.034614564857094986	95.11388481026685
unadjusted	n_drug_log	9	0.04047198746190122	0.009437374382539549	55.388573024586705
unadjusted	n_gwas_log	9	0.01337456608006041	0.01609625389474236	83.36815230310035
unadjusted	tau	9	0.015105937945470577	0.13387732470223768	99.77001793592098
unadjusted	tau_miss	9	-0.017146747720104726	0.04256303080840777	97.38973624430007
covariate	arch_nsig	9	-0.030629610252969692	0.014918822324946929	0.0
covariate	arch_str	9	0.0052126067759181716	0.0065966224874433104	0.0
covariate	causal_nonEGFR	9	-0.003916464839121825	0.003241921404552586	0.0
covariate	has_arch	9	0.014230545186461087	0.011990339681940923	0.0
covariate	is_enzyme	9	-0.000993858461075415	0.01244590540770633	78.01652660286352
covariate	is_membrane	9	0.012131561754347223	0.017608615414544303	88.40678590078494
covariate	is_secreted	9	0.015159773229395287	0.02346068247715541	92.04088157126913
covariate	loeuf	9	-0.00022155822291446638	0.009194625542811254	57.875574522292936
covariate	loeuf_miss	9	-0.015409659110503139	0.025820777327885448	90.86459123551201
covariate	n_drug_log	9	0.017130854349848512	0.011004390062037584	69.7285243970642
covariate	n_gwas_log	9	0.01297534682963545	0.02001249410898027	91.17297632643849
covariate	tau	9	0.029015137280474543	0.07600052643531126	99.04820760500903
covariate	tau_miss	9	-0.006159911919455844	0.02117300615992095	90.29878066355576
residualized	arch_nsig	9	-0.02872180025017442	0.01087825559539299	0.0
residualized	arch_str	9	0.000773347200533379	0.005468626697387284	0.0
residualized	causal_nonEGFR	9	-0.0036167576581104493	0.0033785316013031598	0.0
residualized	has_arch	9	0.012291470354346468	0.008514696019680029	0.0
residualized	is_enzyme	9	-0.0019102644257512774	0.010153641534554286	64.49592757816266
residualized	is_membrane	9	0.006481018799064801	0.021429970722347386	91.59624680971136
residualized	is_secreted	9	0.012320708800577708	0.02055171346391186	89.74928367301395
residualized	loeuf	9	-0.005369353114640234	0.013178794711860823	77.2752058961476
residualized	loeuf_miss	9	-0.019110486757258995	0.02652563363967387	90.33453759807053
residualized	n_drug_log	9	0.020347197525706236	0.009761200809560227	57.765302086634144
residualized	n_gwas_log	9	0.009921690655227602	0.01947575659469107	91.1195126392329
residualized	tau	9	0.025602103322108823	0.03526800512070435	96.86238251158241
residualized	tau_miss	9	-0.0037915038465879737	0.013826856798842886	75.80350009146927
