context	n	pos_rate	within_spearman	loco_spearman	within_auc	loco_auc
liver	28541	0.15815843873725519	0.13218043001485827	-0.011482044718384654	0.7785992733510791	0.715858160160574
adipose-CR	23179	0.03524742223564433	0.05786379745615186	0.012024014908809185	0.8115173855105	0.5924392030675399
adipose-LCD	14231	0.5964443819829949	0.16766166880938416	0.030181724274123925	0.6372932819251499	0.5029597766276299
blood	14647	0.26216972758926743	0.22454804133524778	-0.02910199864197612	0.6805077269555228	0.5021594197240986
muscle	15914	0.012379037325625236	0.08016300909162884	0.007087124985711513	0.8044868161443088	0.7571022227217514
