panel,beta,p,p_bonf,sig_bonf
liver_table,-0.0469303724489147,5.0223249115097526e-11,6.529022384962679e-10,True
adipose_table,-0.0036756560306948,0.6272413204411411,1.0,False
gse141221_adipose_table,0.098963063327986,5.727480128783953e-28,7.445724167419139e-27,True
gse273902_blood_table,0.0102594713750025,0.3084249841104303,1.0,False
gse157585_muscle_table,0.0805136424017661,8.075964014024836e-20,1.0498753218232288e-18,True
gse43471_adipose_table,0.0140468582287522,0.0784499862424354,1.0,False
gse83352_muscle_exercise_table,0.0449653133493856,7.385819271753069e-07,9.60156505327899e-06,True
gse106737_liver_bariatric_table,-0.0096608162323269,0.189253990317568,1.0,False
gse77962_adipose_diet_table,0.0434814800342185,4.885729132133955e-08,6.351447871774142e-07,True
