mark_key,Z_responsiveness,meas_mean
FLYWCH1,0.0409998820450204,5.851761878782372
HOXB9,0.0457283557743546,2.821781253389828
PSMB11,0.0555644008829641,5.517660587406014
PPP5D1,0.3843381126572954,0.9840574121824266
FKBP11,0.2415276893804443,5.780590740021467
DNAH6,1.403959607348964,5.8514626895363415
IRAG1,0.0591465942072262,4.366126447368421
ZNF587B,0.0580892426293862,5.22716105263158
SPACA5,0.1551721726176541,7.833484285714286
HSFY1P1,0.159188299532765,5.268634707080201
FARSB,0.3131382301647285,6.486246305456841
HTR3D,0.2175272902524551,5.129352288533834
SNORA41B,0.6643709761291086,2.194749144736843
GDF2,0.2845626461590104,6.060767565789474
TNFRSF1B,0.2107967405366265,7.602904234765204
MMS22L,0.0863980887238139,2.939618843272183
VDAC3,0.1292464701767833,9.38765030820002
SCRIB,0.2375500557401487,5.499507556050293
PSD3,0.1672834439089165,5.251903705550039
TRIM68,0.2820229372244476,5.406259253427422
RNF212,0.0986813879237548,4.206584813299881
LINC02843,0.3889752076420903,2.5138007236842093
JAKMIP3,0.531940060460076,4.094958179349734
MUC21,0.0804532608874292,5.8763455419799495
TANGO6,0.4990982012891339,5.988440207776545
DLL3,0.5154360868720715,5.6011656437969926
HERC2P10,0.1434763672293176,5.312523881578949
TM4SF1,0.1543260353370821,8.168697765941682
IRGQ,0.0703448275433642,6.104151790192812
TACR2,0.2583543989960732,4.670549740964806
KCNMB3P1,1.2648210399995694,3.791731184210525
KRTAP6-1,0.1354432034063137,2.161478881578948
TROAP-AS1,0.6663311901104073,2.6227438157894736
LINC01538,0.0427889152986335,5.381158142230576
AGBL5,0.5735164123437467,6.14356603005498
MIR183,0.3364247709668794,7.818519523809522
RNU6-1061P,0.6560447851568721,1.4332992434210527
SOX3,0.2536050890181172,5.081433449248118
RNY3P9,0.0778829026085484,5.061572960526314
LINC01011,0.2069555999455931,2.6479420688283826
BTN3A2,0.3380011130860303,3.383347261079076
RNA5SP175,0.1610768679567143,3.670968026315792
KLF14,0.7202478264096485,3.608560031807501
KCNK18,0.0749308618996724,6.098394871553886
PDE4DIPP6,0.6518581728574083,2.424634605263158
RNU6-110P,0.6290798650606884,4.625805855263157
CTAGE11P,0.4443226575662538,5.403042338659149
AARSD1,0.6366325349164255,0.796087297461412
LINC02507,0.6786578439706394,1.768118881578948
BORCS7,0.3614246181580991,6.066483506000473
AURKAIP1,0.8340131669265459,7.516203285861549
PDCL3P4,0.1373579602457479,8.181155714285714
FOXD1,0.3921298914763116,5.580393557330828
ACTR3B,0.0570373872709246,3.988406892781409
PPAN-P2RY11,0.0756525445031247,6.495515368107768
CDKN1C,0.3831275864546054,7.079241969316809
PLIN4,1.6564861802558133,5.995992499999997
CYMP,0.4213703146547873,6.1709515946115285
BIN3,0.0928115243020856,3.833783302206485
DPP4-DT,0.0985237486742871,3.1798476315789475
SNORD83B,0.0271386230211267,7.875131904761903
MCF2,0.493997573509732,2.908609934210528
SNORD3G,0.1706430929893674,1.1755773486842114
MIR607,0.016894261235727,4.843782955827066
LINC02020,0.9662069281735888,1.886557828947368
RPL34-DT,1.1360645016975084,4.018348157894738
MIR1271,0.3234642629879274,5.244694176065163
OSBPL5,0.0885807868166106,6.380996877130039
RNU6-65P,0.3583807855742821,2.7022783552631573
GPR89B,0.1510186005624597,5.929867597677609
NUP210L,0.0954320234624738,5.427989199561404
POLK,0.0166950811719519,5.388116026017318
PFDN4,0.1353204524801229,5.769763070931347
NR2E1,0.161896799020931,5.518369619360904
LINC02691,0.5038297643775906,4.902357697368419
LOC101927418,0.7186436941357601,7.810436428571429
LAMA1,0.0761168493192631,5.540442218045112
DEFB103B,0.6457717167063438,3.8683858552631576
PMP2,0.0962384863604414,5.16599497180451
C1QTNF6,0.5989308305909873,4.202361391637639
PTTG1IP,0.1632969763845959,7.8725618289271
PKNOX2,0.2105489544822144,4.719538293026496
RNF26-AS1,0.6587782272165887,4.898452565789476
ATP8B3,0.4725104917571119,3.674106578947368
LINC01181,0.291174624590558,2.728013552631578
ARMCX2,0.5388064292636568,2.893792774667225
XIST,0.4593649729307284,7.665706650802467
SHC3,0.2477337831010775,4.55663980728074
CASTOR2,0.0428193037181544,2.443916710526316
CELA2A,0.1958687304909721,6.754109749373433
POU5F1B,1.0300272326089206,2.292694802631578
TTF2,0.0838650070851853,4.418666470988345
FRYL,0.3899975063083732,7.273766993145927
A1BG,0.5487791128833809,9.196820300751876
CRTC2,0.1883636324182149,5.992697575885647
MAP3K14,0.0485813923486214,5.27621592167496
CAPN10-AS1,0.1666699162317657,1.0176866696737366
LINC01896,0.2668147558979324,4.069765921052634
TRAM1,0.2738628631831905,8.511054109832626
TPRKB,0.0541641933359839,5.831215840547025
IDH3B,0.0483489189057748,7.923618255403788
PCSK6-AS1,0.6731717719768989,3.596508684210526
TMEM184A,0.4583281215725824,6.695666823308271
PCNT,0.0348548517186556,6.6583790286894144
ADTRP,0.7968898525987861,2.2045437229091074
RPL32P10,0.1013482355646546,2.059806776315789
RITA1,0.4731333002965928,4.885866139001719
LINC00958,0.3974469747915669,2.9786421710526305
ZNF629,0.2698202020018098,5.7766173306139095
FTH1P8,1.4373037652877676,11.265825
RNF185-AS1,0.0132132131503305,4.80341236842105
RNU6-262P,0.9700179357654852,1.4635150657894738
PCOLCE-AS1,0.4167593650996811,4.726218223684212
ITM2B,0.0603660058920194,9.871986765608556
LINC02058,0.3913673331962345,3.831882171052631
LINC00837,1.0569099499526151,2.731011381578948
FAHD1,0.2817523591815651,7.084919034747933
ZNF124,0.3410381073695211,7.883559761904765
AIRE,0.130396144386566,4.685338289473685
RNU6-970P,0.1022646212523133,1.7225287500000004
CREBL2,0.2014921820782846,7.527497041441429
PAXIP1-AS1,0.3517296578223616,7.817238931061468
JCHAIN,1.1856714930060384,5.388362850256864
DPPA2,0.0136655063131773,4.971656159147869
ADGRF3,0.0022131065587351,5.992172238408521
LINC03070,0.8650941026291494,3.658230789473683
SMOC2,0.6583780864028375,5.287423974127391
SETX,0.1096388386311414,6.947030709146884
SNORA74C-2,0.3018889429658284,5.97747690789473
GFUS,1.6418074029348684,5.779149473684212
ABCG8,0.6818487571525442,8.653445197368423
ZNF266,0.8305342189600124,5.7956362239035135
TSPAN14,0.1080893698094157,6.975071448889678
FBXO33,0.4181270805535118,5.9897879960580696
COG1,0.0510118220135856,6.457090566612468
MAML1,0.5558141324358138,5.455078656522844
PGBD1,0.0043344440779839,4.588399761973175
CD200,0.0668261462466741,5.053825468761351
TAF9B,0.6249975898492877,5.451059740202197
C2orf40,0.1001975595092553,4.274166177835193
RNU6-291P,0.221428952561016,1.6004915394736836
IKZF5,0.3845962564149145,6.227955406767083
IL3RA,0.3960768245490312,5.409614839122665
SMIM19,0.3213581098592755,6.032947984141235
RPL8,1.0204044819020233,9.022744836273494
PPM1L,0.1769685555010672,6.248481858071588
C1orf174,0.3011346570575912,5.085899698529584
KCNE5,0.461840208472056,4.575288112446757
TESK2,0.462215876346954,5.0628005054556455
VPS52,0.0433267757162967,6.916494398595705
MYCBP,1.2860424404019688,6.449957527484656
TRAV30,0.0409224521295869,3.1282746710526323
HELQ,0.7547352279635466,5.684818160353875
HCG4,0.011414260919578,6.460677415413535
EI24,0.649745866856357,8.29952568902671
PYCRL,0.1084929456868504,5.153592232082869
CPLX3,0.5703624753857132,6.06548894736842
NHSL3,0.4521929477814029,4.746049736842103
RPS24,0.8544113001095207,8.78598999343951
SIRT7,0.2194613863384782,6.428490009536749
LINC02645,0.6589964607208281,3.2834518421052628
MIR3201,1.0549152704232514,1.6914781118421052
LINC01375,0.340503785696965,2.698901973684211
WDFY3-AS1,0.470439945315554,4.932561381578947
ALDH8A1,0.529569258838014,4.681748093977778
HSPB2-C11orf52,0.4800669895187155,4.666460986842106
TWF2-DT,0.553074667749223,4.711767960526315
WASF1,0.0175190728021422,4.920491473492566
ATP6V1H,0.3113976963270483,4.611686642698265
RP11-399K21.13,0.0093767588560723,1.7548337430635714
ATOSB,0.1322334948763807,6.0671715131578985
KIR2DS1,0.7121312834451395,3.984380855263157
DALIR,0.0176532130042311,7.868777380952379
uc_338,1.4590811905779986,0.826916312799439
CLGN,0.4194563786827578,6.091029508145364
LINC02237,0.3495066955967648,1.7478832894736835
AGXT2,0.3405981329443224,8.30689927631579
APOM,0.4423827363982576,5.5203066092010165
TRAK2,0.311154343930236,7.209684226613272
FAM185BP,0.989533851845746,4.696836315789476
BBS7,0.5828777712709837,3.611275423262155
TACC1,0.4223367751482215,8.48494260845219
EIF4A1P4,1.6288218431225208,3.6139647368421057
RASGRF2-AS1,0.0670146616088937,2.7133138815789475
PCGF3,0.7202313541274895,6.63911833779117
SLC50A1,0.0497036142794664,6.241544136172148
MGAT5,0.3038054103470252,6.1744425958921765
KIR3DL2,0.6644796846908517,6.446203880012533
MIR369,0.2754719972074226,7.866600714285715
ZNF274,0.0115070079059357,5.438921841172167
FNBP1L,0.5471815353308451,6.362569733476913
CRABP2,1.2192286262355458,5.067278596078329
WDR43,0.1409538868210176,5.446371264194916
CTD-3001H11.2,0.0495068347373783,1.0627790890539324
AKTIP,0.7155941884201542,4.651618958650045
SHCBP1L,0.0253788096322856,1.7796443421052637
RP11-165A20.3,0.0260268347863995,1.8645550933484272
C4orf17,0.1413689429099317,3.2848160526315806
MAP4K4,0.138368255067432,7.731126170726966
MIR9-1HG,0.0573512238018081,4.105848486842107
ALDH1A1,0.4630889819696474,8.074006983071861
HIST1H2AG,0.8915139909034676,7.862046666666668
PHOSPHO2,0.483788764718055,5.746416442267782
HSD17B6,0.1381621728100651,8.49642046209273
WDSUB1,0.4439940407687893,5.269079041364948
PHB1,1.0522001816526765,5.468508881578947
CTD-2026K11.6,0.2757772847423666,1.2214116608707748
ATG5,0.0368642392011985,4.8092173687344175
RP11-101E13.5,1.8836150592740184,1.9272442460518813
NPM3,0.0978376887570431,6.636113288303314
MTTP,0.4420020044543298,5.9430536753722265
