feature,pooled_beta,ci_halfwidth,mde,feat
causal_nonEGFR,-0.0036167576581104,0.0033785316013031,0.0033785316013031,causal status
has_arch,0.0122914703543464,0.00851469601968,0.00851469601968,has cis-QTL
is_enzyme,-0.0019102644257512,0.0101536415345542,0.0101536415345542,enzyme
is_membrane,0.0064810187990648,0.0214299707223473,0.0214299707223473,membrane
is_secreted,0.0123207088005777,0.0205517134639118,0.0205517134639118,secreted
loeuf,-0.0053693531146402,0.0131787947118608,0.0131787947118608,LOEUF
n_drug_log,0.0203471975257062,0.0097612008095602,0.0097612008095602,druggability
n_gwas_log,0.0099216906552276,0.019475756594691,0.019475756594691,GWAS burden
tau,0.0256021033221088,0.0352680051207043,0.0352680051207043,tissue-spec. (τ)
