gene,signed_Z,Z,sign_concord
CRP,-1.0153939946093191,1.0153939946093191,0.5714285714285714
IGFBP1,-0.816936721719004,0.816936721719004,0.7142857142857143
LEP,-1.8258863347879852,1.8258863347879852,0.7777777777777778
SAA1,-2.6887047195004463,2.6887047195004463,0.8888888888888888
SAA2,-2.5561502803163383,2.5561502803163383,1.0
GDF15,0.6110186098999549,0.6110186098999549,0.7142857142857143
