classpair,mean_fold,n
within-DRUG,1.0175555755051375,4
SURGERY×DIET,1.0827511036366442,2
DRUG×DIET,1.10439808552795,4
within-SURGERY,1.3297872340425532,1
DRUG×SURGERY,1.3637199702546834,6
