pair,fold,p,kind
liver×adi-CR,1.0388756040731029,0.0036497833486592453,cross tissue
liver×adi-diet,1.041174978857175,0.0368357645256824,cross tissue
liver×blood,1.030110371508221,0.09584454498990469,cross tissue
adi-CR×adi-diet,1.174568663373106,2.343428605496401e-18,within tissue
adi-CR×blood,1.009822379989714,0.31752815494375314,cross tissue
adi-diet×blood,0.9555188209090623,0.9889929881977914,cross tissue
