which,subject,diff_nor_minus_rem
drop_rem,5,0.3449530480525538
drop_rem,8,0.4013598423769365
drop_rem,11,0.3082133630211821
drop_rem,17,0.2212563088276201
drop_rem,20,0.4796929244468259
drop_rem,23,0.2747548785046745
drop_rem,24,0.3727349460397383
drop_nor,3,0.4579321072120225
drop_nor,6,0.3674664143119553
drop_nor,7,0.2934599474188649
drop_nor,9,0.4295746963785645
drop_nor,12,0.4166766837305343
drop_nor,14,0.3183896728046143
drop_nor,15,0.4212128307980775
drop_nor,35,0.3701365604648719
