R_restoration,layer
3.3298321103009765,proteome
4.18002512090891,proteome
1.948648474725732,proteome
-2.44240013202284,proteome
2.5991069943857905,proteome
2.4218852823758765,proteome
1.902856149339846,proteome
2.207146602108028,proteome
-1.6370059605586376,proteome
-1.717544091932779,proteome
2.1460511961403004,proteome
-1.6448896741663397,proteome
2.096154618759249,proteome
2.2271491597903457,proteome
1.662664354215703,proteome
2.8272421452197585,proteome
1.83631821250077,proteome
0.4440338026059888,proteome
0.8030831584147504,proteome
2.24604982585851,proteome
2.223213908857551,proteome
3.175699188933307,proteome
-1.1889137311977758,proteome
3.4317393121279363,proteome
-3.5567562094926486,proteome
-2.0935421991764,proteome
2.4709807470952976,proteome
1.1861398163668089,proteome
0.7070588098175655,proteome
1.6575427399137712,proteome
2.0443807780082897,proteome
-1.5558667424665222,proteome
-1.0882127090887248,proteome
3.0716118901846,proteome
1.3328973530292578,proteome
1.6390492042005949,proteome
2.4402688932238927,proteome
1.2110111400682744,proteome
1.5662943240482616,proteome
2.1125456882145075,proteome
-1.0177765045441711,proteome
-1.551228337060378,proteome
1.0711766271072238,proteome
1.7803420273524104,proteome
-3.4058306358266552,proteome
-2.0592052485284738,proteome
-1.2234499740153069,proteome
0.301626597766138,proteome
2.537052029395158,proteome
0.8808401067877747,proteome
1.372011168111713,proteome
-1.544808146394498,proteome
-2.3549437087374034,proteome
2.105986006144067,proteome
2.263123518736012,proteome
1.4952957127700786,proteome
0.4452636133609984,proteome
2.14337440669787,proteome
1.2403890516747278,proteome
1.9311656721932997,proteome
1.7861713442736045,proteome
0.7494387056867841,proteome
-1.0070195495331034,proteome
1.836743166783855,proteome
2.9069997171369173,proteome
1.2298299855441988,proteome
1.0132021504471973,proteome
-1.8868346449853617,proteome
-1.2307308576687672,proteome
0.6744887305556281,proteome
2.707808855307452,proteome
2.019535537379693,proteome
0.3099975304347048,proteome
2.648764077556201,proteome
0.9155241092360236,proteome
0.9296022356532576,proteome
-1.1661271236643458,proteome
2.3165152556106032,proteome
1.1775291941526416,proteome
-0.9875541702005772,proteome
-1.2273499881336676,proteome
2.065453135540724,proteome
1.7027249693200888,proteome
2.122011870978897,proteome
0.9702532290538576,proteome
1.892431415386978,proteome
1.373980090418642,proteome
1.7494028267955162,proteome
-0.3580007084605149,proteome
1.8571276520278732,proteome
0.4799159511897181,proteome
-1.3168254338690184,proteome
0.8506918990774378,proteome
1.3187553652026598,proteome
-1.5034100400680508,proteome
2.586909715255942,proteome
0.8303463640890437,proteome
-2.7039825129363724,proteome
1.829448956825987,proteome
-1.688397453483423,proteome
0.8212573058446403,proteome
1.939426730954328,proteome
1.7640854465315312,proteome
0.9493144681305794,proteome
2.092690787511129,proteome
1.4701950809987177,proteome
-0.3690728295038822,proteome
-0.2272956229420944,proteome
-1.2744304767703938,proteome
-0.9303377421014832,proteome
1.4625338707582225,proteome
-1.259217707244508,proteome
-2.363521481296182,proteome
2.089330753691372,proteome
-1.2036740271219426,proteome
0.7537861627210313,proteome
-0.7923324574196475,proteome
0.7892391866867245,proteome
0.4009740024273125,proteome
1.5268207707494847,proteome
1.6525886802914926,proteome
-2.240557740655676,proteome
1.817704796367396,proteome
1.097916604521259,proteome
2.5272518063691525,proteome
0.993226427014222,proteome
-1.323033437431716,proteome
1.1680815682367385,proteome
2.5893695735786912,proteome
-0.8897427658291498,proteome
1.164225404283512,proteome
1.6347893053732354,proteome
1.0823996432626897,proteome
1.3545348341072223,proteome
-0.7305718227567456,proteome
1.9964063589334984,proteome
1.3117186835281742,proteome
0.6992241611643373,proteome
-0.9075908015112094,proteome
1.3927899764525586,proteome
-0.4220072530255982,proteome
1.9990031538968087,proteome
1.988152450500298,proteome
-0.9006453974170412,proteome
-0.340166398410297,proteome
2.1983412871042214,proteome
2.384375395474359,proteome
0.1879490845389581,proteome
1.8086896140060011,proteome
-1.3281583829142496,proteome
-1.4903155609320529,proteome
2.3257684692815603,proteome
1.5835980147467283,proteome
0.6170817952485314,proteome
-1.549788596626306,proteome
1.0364960081273176,proteome
-0.4902711874958422,proteome
-1.1615611068444325,proteome
-0.9804264388700756,proteome
0.1671125073407043,proteome
1.7732756367660871,proteome
-0.8427206783572497,proteome
0.5007960929095905,proteome
1.924663342344034,proteome
0.5268006718237022,proteome
0.2073682001420502,proteome
1.90702856402814,proteome
1.8894500870031048,proteome
1.3607800922735045,proteome
1.2770747009860688,proteome
2.298346763318975,proteome
1.8105747328202129,proteome
1.975318515757693,proteome
1.2320431360949122,proteome
0.881101411117532,proteome
-1.2718664551451415,proteome
-1.277653466266998,proteome
-1.4061194086814868,proteome
0.2411745790516639,proteome
-0.5145356330949793,proteome
0.8426405115771681,proteome
-1.9245234032012184,proteome
-0.5550635224373616,proteome
-0.0206401825551525,proteome
1.3346798766793215,proteome
1.5552477320023717,proteome
1.4568704973980922,proteome
1.5685642411669038,proteome
0.8389512268455351,proteome
0.9973721316659372,proteome
2.03145514685387,proteome
0.7898596096910623,proteome
0.3747219834097927,proteome
0.8354148596725872,proteome
0.9414060236801256,proteome
0.7386507160040795,proteome
0.5298121974162115,proteome
-0.0318403306441605,proteome
-0.3619432007568947,proteome
1.1605995360033028,proteome
-0.1970285924416993,proteome
-0.0330093067019919,proteome
-0.6522328530145893,proteome
-1.4797638248993807,proteome
-1.1854631640582818,proteome
0.2281252754381341,proteome
0.8921880454591188,proteome
0.1913337892197665,proteome
2.351308118278149,proteome
1.7926906624737258,proteome
-0.8226851052704875,proteome
1.4388643213843113,proteome
1.8000290524582412,proteome
-1.339565101170509,proteome
0.0137003265644847,proteome
1.6647999668767486,proteome
-1.4719687110890516,proteome
-0.844006462404836,proteome
1.1224373253275506,proteome
-0.1453159753782498,proteome
1.0859883278392095,proteome
1.200019230047049,proteome
-0.4712851752224957,proteome
-0.9584615682873224,proteome
0.6662468149766284,proteome
0.6121416578660732,proteome
0.4805260162554283,proteome
-0.1618688635319777,proteome
0.7306793436880766,proteome
0.8152980354947384,proteome
-1.2818499393313454,proteome
-0.3177600810070086,proteome
-0.5314714355461897,proteome
0.4277182021196399,proteome
1.222320560804072,proteome
1.0884397218795172,proteome
-1.229726094390286,proteome
0.975455802738226,proteome
-0.7168897585358773,proteome
0.3022059254330635,proteome
-0.1227329701999815,proteome
-0.9087842261758718,proteome
0.5344352754833601,proteome
0.3354645242531299,proteome
0.3137244626509671,proteome
-1.391604397275169,proteome
-0.0164632499894942,proteome
-0.029703441635247,proteome
0.9042416994147784,proteome
1.0720158602955594,proteome
1.2604851067275928,proteome
-0.0736206641175507,proteome
1.4910500563441225,proteome
1.1358647052090096,proteome
-0.4007516116504562,proteome
-1.7456024602027584,proteome
-1.24112127261967,proteome
-0.1519197640266059,proteome
0.8250342785495721,proteome
1.460631645646822,proteome
-0.1795396550282783,proteome
0.6473233202007416,proteome
0.8492955561369809,proteome
-0.7633511917015946,proteome
2.1330851212966957,proteome
0.6711187662257196,proteome
0.8108542921559004,proteome
-0.623887169419872,proteome
1.6624542828170774,proteome
-1.8086186468008532,proteome
-1.109962920368032,proteome
-1.42010127773992,proteome
1.2648168462896552,proteome
-1.1394238283213236,proteome
0.8754352189921261,proteome
-1.7098739333016293,proteome
-0.3731387118787708,proteome
-1.39502999560051,proteome
2.195498831987777,proteome
-0.0610885343519019,proteome
0.8925467234160436,proteome
0.6699175623403263,proteome
1.2853152514540125,proteome
1.0959808429161515,proteome
1.3486860174021955,proteome
0.1401622811446689,proteome
0.9973571152517005,proteome
0.4432910134941398,proteome
-1.2852786687713689,proteome
0.2723877100218831,proteome
-0.1336279661124239,proteome
1.52565022905623,proteome
0.0927560634204852,proteome
0.228945458607042,proteome
0.302598043267111,proteome
0.0728199435437633,proteome
1.7510493409580934,proteome
1.3931085699175725,proteome
1.0064669818175798,proteome
-1.384651711979923,proteome
0.7790139408404096,proteome
-1.4025369693610852,proteome
-0.2363109375023111,proteome
0.9845164056938772,proteome
0.1751410813235838,proteome
1.457176462690033,proteome
0.75774413261757,proteome
-0.0471908184802799,proteome
1.0609894776424231,proteome
0.8263117990022629,proteome
-1.5508747777479843,proteome
-1.0355439845645535,proteome
-2.0475145403467447,proteome
-0.4132160942197764,proteome
0.8536162929547263,proteome
0.2391376127111402,proteome
-0.0556359993054641,proteome
0.9871395523615524,proteome
0.5978962420614993,proteome
1.0205176832709106,proteome
0.0068284011793924,proteome
1.3567601330841812,proteome
0.838000050279073,proteome
0.5437739335409983,proteome
1.648693670852323,proteome
-0.4417364562860724,proteome
-1.354454669567965,proteome
0.2616212259767085,proteome
-0.5834821711220645,proteome
0.8859386407082208,proteome
-0.1364327704211617,proteome
0.0439118886665232,proteome
-0.5811809489826779,proteome
-0.3281931709028677,proteome
1.068103543821781,proteome
0.9314728242200284,proteome
-0.0152749247863076,proteome
-0.4478817277347953,proteome
-1.1023000662275224,proteome
0.8085789270215493,proteome
1.6053851880400256,proteome
-1.0093049199641408,proteome
-1.0387971859378446,proteome
