layer,feature,k,pooled_beta,ci_halfwidth,mde,inconclusive
transcriptome,arch_nsig,9,-0.0287218002501744,0.0108782555953929,0.0108782555953929,False
transcriptome,arch_str,9,0.0007733472005333,0.0054686266973872,0.0054686266973872,False
transcriptome,causal_nonEGFR,9,-0.0036167576581104,0.0033785316013031,0.0033785316013031,False
transcriptome,has_arch,9,0.0122914703543464,0.00851469601968,0.00851469601968,False
transcriptome,is_enzyme,9,-0.0019102644257512,0.0101536415345542,0.0101536415345542,False
transcriptome,is_membrane,9,0.0064810187990648,0.0214299707223473,0.0214299707223473,False
transcriptome,is_secreted,9,0.0123207088005777,0.0205517134639118,0.0205517134639118,False
transcriptome,loeuf,9,-0.0053693531146402,0.0131787947118608,0.0131787947118608,False
transcriptome,loeuf_miss,9,-0.0191104867572589,0.0265256336396738,0.0265256336396738,False
transcriptome,n_drug_log,9,0.0203471975257062,0.0097612008095602,0.0097612008095602,False
transcriptome,n_gwas_log,9,0.0099216906552276,0.019475756594691,0.019475756594691,False
transcriptome,tau,9,0.0256021033221088,0.0352680051207043,0.0352680051207043,False
transcriptome,tau_miss,9,-0.0037915038465879,0.0138268567988428,0.0138268567988428,False
