gene,R,ci_lo,ci_hi,k,ci_excl0
IGFBP1,4.18002512090891,0.7325039795420913,7.627546262275729,3,True
LEP,2.1460511961403004,-31.368687609261897,35.660790001542495,2,False
FABP4,0.4440338026059888,-49.835072406678194,50.723140011890166,2,False
CRP,2.400978629934984,1.2183902902679555,3.5835669696020123,1,True
IGFBP2,3.3298321103009765,-5.094603318538427,11.75426753914038,3,False
