gene,z2,z12
IL23R,1.6243282191338184,2.014230600011402
ALB,10.127086411337949,9.245748745808688
ADSL,3.270190539680745,-1.968358009932043
FCN2,-1.5761867280085824,-0.9882289807538619
SNX4,-1.450683065094832,-0.4942598592135369
COTL1,1.1765284051720888,0.16275146061189125
PCNA,-0.12081141871431117,-0.1049766516665873
LYPD3,0.800083113689386,0.21359740932921142
DSCAM,-0.21070132773847827,-0.42833741771414524
AKT1 AKT2 AKT3,-1.076894862735645,0.44240388781947887
CYP3A4,-2.977107769600649,-4.246328382820804
KIR3DS1,-0.11898065510942728,-0.04450402970401636
IFNA2,0.009022715495138257,0.037151506538628316
CTSH,-0.137621157268245,-0.3023096140809838
PRDX1,-0.8690871342514568,-3.4223312989108274
KLK14,-5.345150854589272,-6.042866242638133
KRAS,-0.2171819973095146,-0.2605311919157935
NTRK1,0.16860982415601636,-0.7603487924904473
MAP2K1,-0.017884107722063062,-0.0013953431297988917
KPNB1,1.940499925746002,-3.808733296116248
DHH,-0.12345171853842002,-0.34827872906784907
TEC,-0.6385488842790392,-0.37008579898477395
KLK13,0.41620965217347017,0.5864004426078229
PLK1,-0.022635041472472257,-0.02238307939509206
KLK12,3.9231190939169642,7.278733943926884
DKK1,2.549995292386292,-13.24536876864888
BIRC3,-0.049408134270050474,-0.08165541994757539
MYBPC1,-3.153972089308511,1.4967408007082417
BMP1,-8.160694466028458,-4.429202379271031
CCL21,-7.2719127536032495,-11.21788053073902
ESM1,3.1816598339389914,2.157977120400784
LYVE1,-0.09620998529652942,-0.02132078208471076
IFNA10,0.02635482025148633,0.11853258641776103
PSME3,-0.06896263128918523,0.005693166969298971
RPS3,-0.1939412271132255,-0.09883336463162182
PAFAH1B2,3.394621147371537,-0.35916801788032415
IGHA1 IGHA2,2.1067796871321662,3.212220997234119
UCHL1,2.1015896037068376,-1.4387270053955574
F10,-6.723041357212405,-3.657322930661003
CCL19,-0.5411322593338364,-0.2819748397412036
IL24,-0.10265634629921266,-0.020932879881111564
AHSG,-0.04876014030990079,0.19952686889645277
HSD17B10,-0.23733499635402586,0.051493828548305344
BCL2,-0.1638204940078333,-0.4796049360576225
APOA1,-5.6364451992977695,-11.637822025926155
ULBP1,0.10946039237621533,-0.11522050284453214
TSLP,-0.09573842497405932,-0.12105095614312172
CDC37,-0.1117123484053488,-0.13234611474740043
FGF10,-0.09977077670985621,-0.022175027516141692
RSPO2,-0.06755889986486636,-0.02811398411437392
SPARCL1,-1.819091391948439,-0.6196840914371106
IL13RA1,-1.4084470275435634,0.07792932592769286
FCAR,-0.07058352865148373,-0.05336274845924549
ANXA2,-0.779665865671602,2.314091621408596
ANGPT1,-0.32339986499159346,-0.5092968116720515
"YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,SFN",-1.0590106090196738,-8.044362532562857
KLK3,1.3574951536915318,1.6095760916817443
CD209,-0.8669483235009345,0.20915958948530639
CPB2,10.511634364708295,-3.2550059532239684
IL27RA,-0.3784198590868538,0.1897545942244575
HSPA1A,0.9389963170424174,6.8230317149346975
CDH12,-0.25376077093022087,-0.143410427639149
SLAMF6,0.13201426123590326,0.20809025632323336
LIN7B,-0.002600669777813341,0.005602387038215316
TP53,-0.4247473759066128,-0.6319474064931847
GZMA,2.0729455989797065,2.2139731962613776
IFNG,0.4856297553730145,-0.44149039005024737
CAMK1,-2.9253237304736706,1.9441395617534993
ADM,1.4589682193673328,0.6339825702056673
IFNAR1,1.5579885873906576,0.45818222134468367
PRSS2,2.8426546801335193,6.5356665987321465
IGF1,0.7554162775718243,0.6962120617799226
RAC1,-13.575462515592918,-16.18513367756275
HPGD,-0.30047882145357363,-0.7753857449489621
MMP17,0.3253145750935115,1.156461427981142
SEMA3A,-0.7243078956795869,-1.122136938281756
CD70,-0.0537732791188723,-0.07960164902400718
ADIPOQ,16.821710054380446,12.89665800339864
WFIKKN1,-0.7395175410030959,-0.5413047035912859
NID1,2.0315052282264143,0.10735372288276704
CTSA,-2.9477483947248797,0.8237063462367643
HIBADH,0.22165379070804678,-0.09056478520547802
ICOSLG,-0.4655388037393546,-0.7024512922470479
EPHA10,0.08048279156956639,0.053319254103333005
MST1R,-0.08297344763809264,-0.10572210306070239
S100A7,0.10624925637227427,-0.31767742601161353
SERPINA3,3.820521875150445,3.8896688495849516
FAP,-0.5361925554605312,-0.44924610822084554
RAD51,2.309236738892351,1.3693104785395065
CKB,0.38425085576779977,0.3962178825283976
PF4,-19.963498952075913,-61.705582287127584
CMPK1,-2.7884179433540646,-6.35796773286509
BMP6,49.73435765722058,-8.771090420523091
RSPO4,0.1632365183762914,0.24526164931870936
DIABLO,2.044695777803867,2.7035289199223476
