layer,feature,k,pooled_beta,ci_halfwidth,mde,inconclusive
proteome,arch_nsig,3,-0.138849885919445,0.4501024792487128,0.4501024792487128,True
proteome,arch_str,3,-0.1441894706714377,0.4114766318819915,0.4114766318819915,True
proteome,causal_nonEGFR,3,0.0097080212599255,0.078833367032643,0.078833367032643,False
proteome,has_arch,3,0.2412732600032685,0.8146195799480915,0.8146195799480915,True
proteome,is_enzyme,3,-0.0217676982652663,0.136347460888565,0.136347460888565,True
proteome,is_membrane,3,-0.0787314931464895,0.190523881071475,0.190523881071475,True
proteome,is_secreted,3,0.0168292832888234,0.1850407162944124,0.1850407162944124,True
proteome,loeuf,3,0.0466656856818008,0.3455579885125929,0.3455579885125929,True
proteome,loeuf_miss,3,-0.0091722247197736,0.3636472083479346,0.3636472083479346,True
proteome,n_drug_log,3,0.0254268828688522,0.0359206591039991,0.0359206591039991,False
proteome,n_gwas_log,3,0.0051914559724766,0.0885129945521998,0.0885129945521998,False
proteome,tau,3,0.0242975450402133,0.2730014616094114,0.2730014616094114,True
proteome,tau_miss,3,-0.0284098163470956,0.1816494325366397,0.1816494325366397,True
