context,n,pos_rate,within_spearman,loco_spearman,within_auc,loco_auc
liver,28541,0.1581584387372551,0.1321804300148582,-0.0114820447183846,0.7785992733510791,0.715858160160574
adipose-CR,23179,0.0352474222356443,0.0578637974561518,0.0120240149088091,0.8115173855105,0.5924392030675399
adipose-LCD,14231,0.5964443819829949,0.1676616688093841,0.0301817242741239,0.6372932819251499,0.5029597766276299
blood,14647,0.2621697275892674,0.2245480413352477,-0.0291019986419761,0.6805077269555228,0.5021594197240986
muscle,15914,0.0123790373256252,0.0801630090916288,0.0070871249857115,0.8044868161443088,0.7571022227217514
