pair,fold,p,kind
liver×adi-CR,1.3929521266013372,0.015506311162717772,cross tissue
liver×adi-diet,1.0609240135364402,0.00019205823509462654,cross tissue
liver×blood,1.061608080175792,0.12474765515901852,cross tissue
adi-CR×adi-diet,1.6290677875663597,6.128019364958425e-26,within tissue
adi-CR×blood,1.113860455119422,0.3277773273523331,cross tissue
adi-diet×blood,0.9458723808827294,0.9868568583972728,cross tissue
