layer,Z
proteome,1.3537874774490812
proteome,0.5066211542651158
proteome,2.650136157504699
proteome,2.45754204051151
proteome,1.5665440882584076
proteome,0.3279916310576757
proteome,2.977291484344594
proteome,0.9108712856149817
proteome,1.024487775781632
proteome,1.6881044422202531
proteome,0.9310917612505172
proteome,1.612602524798602
proteome,1.65894395494267
proteome,0.6085675880141385
proteome,0.941906881066569
proteome,0.4003695396071303
proteome,0.8265358545515105
proteome,0.489707738778581
proteome,0.1045397634081244
proteome,1.707576144364737
proteome,1.0592903550541366
proteome,1.6430203934144918
proteome,0.774987013199314
proteome,0.643738143081032
proteome,0.1905853093571455
proteome,2.5177490039302843
proteome,1.1244980959282975
proteome,0.9197170960938832
proteome,0.1115814918529949
proteome,0.6401242552994539
proteome,0.9341881425034324
proteome,1.4601986245608791
proteome,2.334785983254169
proteome,2.004906351792558
proteome,1.3064864074575837
proteome,0.1107925864604238
proteome,0.3984995062874251
proteome,1.8570163717690928
proteome,2.078461359533263
proteome,1.403876883178886
proteome,0.7557455878868048
proteome,1.853499244055792
proteome,0.9379467028878868
proteome,0.7174098110355461
proteome,0.2389723248065577
proteome,1.2365650427816597
proteome,1.5855459661033773
proteome,0.7801251794801585
proteome,1.8073795737042555
proteome,0.407286282427063
proteome,1.77484073478227
proteome,1.0201850866349726
proteome,1.1356572107028704
proteome,1.500844191582557
proteome,1.5107671895847696
proteome,1.0654949778602714
proteome,0.3381440004726696
proteome,2.028553042094706
proteome,0.3042961133642835
proteome,0.2219893523037679
proteome,1.6725443731473562
proteome,0.1377885977063313
proteome,1.233318749544339
proteome,0.1812279263909958
proteome,1.4915727147819444
proteome,0.405826580289978
proteome,0.3946260234601196
proteome,0.8683234758645193
proteome,1.0523565112717288
proteome,1.918656823517458
proteome,0.7733415759222247
proteome,0.8986023037675502
proteome,0.1281575260132213
proteome,1.1163668344802695
proteome,1.0408132842280813
proteome,0.8197004412447281
proteome,0.2527633352961873
proteome,0.3692344395843141
proteome,0.9851366122369678
proteome,1.197347671459702
proteome,0.8242943057435851
proteome,0.0996254100118312
proteome,1.1750487704702952
proteome,2.2081231264906744
proteome,0.1830551887165713
proteome,1.5895963520754173
proteome,0.218154180813579
proteome,0.6552434853646908
proteome,0.6841599595709782
proteome,1.8252009673207532
proteome,0.8900360763643912
proteome,2.0231061856102177
proteome,0.607146104771849
proteome,0.6544197197063324
proteome,1.08318514974084
proteome,0.6450186206265811
proteome,1.392998808137249
proteome,0.4056790785488351
proteome,0.39757592231936
proteome,0.6283951932961557
proteome,0.5162946456789633
proteome,0.5104520054061145
proteome,0.4518659352004393
proteome,0.1133960629186641
proteome,1.6308856756911048
proteome,0.5447035007366925
proteome,0.4277554746437012
proteome,0.3156513495624186
proteome,1.3005478500045915
proteome,0.3805457351338329
proteome,1.7087255839433724
proteome,1.186034359543564
proteome,0.7914804817222321
proteome,1.2683666053619085
proteome,1.1975945488393651
proteome,0.9352557732366196
proteome,1.036603073848681
proteome,1.6260383662496023
proteome,0.3716155408088106
proteome,0.0590964614890755
proteome,1.1378802995227235
proteome,0.8264359797597784
proteome,0.7287858517308141
proteome,1.0373628409543043
proteome,1.0463230817690006
proteome,0.1722676633673889
proteome,0.4461512666614861
proteome,1.67636222082246
proteome,0.6513728993199384
proteome,0.3902618362723524
proteome,0.133031574574763
proteome,0.5601075587970591
proteome,0.4424933627348728
proteome,1.37003393840237
proteome,0.5612533780568256
proteome,0.5689958607590155
proteome,0.1485448703297054
proteome,1.2759778248845857
proteome,0.7939844895751512
proteome,0.1786215103749051
proteome,1.0920349478377531
proteome,0.9561519926462236
proteome,0.8659708594509684
proteome,1.4361920559026196
proteome,1.4943497601785318
proteome,1.2715346700767458
proteome,0.7098535616901548
proteome,1.8007057160323776
proteome,0.4694778807804884
proteome,0.9797893550655964
proteome,0.1321109991535236
proteome,0.9923032959556708
proteome,0.6618970844333356
proteome,1.3956457908762985
proteome,0.4356553808473822
proteome,0.1604166496795884
proteome,0.356071621277811
proteome,0.8220000082601329
