context,loco_auc_full,loco_auc_intrinsic_only,loco_auc_measurability_only
liver,0.715858160160574,0.6687167759265952,0.6847324082811208
adipose-CR,0.5924392030675399,0.6658858679761095,0.5635347908899047
adipose-LCD,0.5029597766276299,0.4799935827298175,0.4928292206075404
blood,0.5021594197240986,0.4930769577395824,0.5819208855757071
muscle,0.7571022227217514,0.6606104676981729,0.7925633565000747
