mark_key,class,base_sd_mean,Z_responsiveness
AAGAB,reversible,0.2480899851089197,0.6849383770731929
AAMDC,reversible,0.3024765245702622,1.167010904901397
ABCA3,persistent,0.3297198041761339,0.1832462266666802
ABCB8,reversible,0.3738758143446719,0.302574890141533
ABCC10,persistent,0.2915519121108062,0.0141261642219252
ABCD1,reversible,0.4063487408234131,0.5610598202279353
ABCD2,reversible,0.3425314075159525,1.0098145899379332
ABCG2,reversible,0.5773966969014273,1.3939485255328596
ABHD1,reversible,0.3868430945467301,0.5707501027416385
ABHD18,persistent,0.3364072347634074,0.4805986996664309
ABHD2,reversible,0.3142838563316712,0.1805728056010365
ABHD5,reversible,0.4284329335835372,0.6947833588500105
ABI1,reversible,0.2648713552928153,0.3217360512919169
ABI3,reversible,0.3363061214223735,0.2860346965685951
ABL2,reversible,0.2834537930217061,0.6590041825719558
ABR,reversible,0.2758028116680089,0.0659101483567279
ABRACL,reversible,0.4966759104033404,0.0056150941734206
ABTB2,reversible,0.4134412406091173,1.1529671288891692
ACACB,persistent,0.3206104773743544,0.5317479958713051
ACAD10,persistent,0.2664473345977698,0.1068394476113799
ACADS,reversible,0.3057115074444309,0.6956560893640563
ACAP2,persistent,0.2548068205289157,0.0116263492959324
ACBD5,persistent,0.414040404386567,0.292942758126442
ACER3,reversible,0.2151205654361329,0.7010798081314124
ACLY,reversible,0.515408833134896,1.079177332827249
ACO1,persistent,0.2891618524489239,0.2117188438883668
ACO2,reversible,0.3969829139511167,0.8580564138561199
ACOX1,reversible,0.301133516080554,1.4879789611643397
ACP5,reversible,0.6482981169229605,0.2928889741395467
ACP6,reversible,0.3278996556797527,0.6007752483941692
ACSF3,persistent,0.2894209047767752,0.0475665729684573
ACTRT3,persistent,0.3301923020401199,0.0650243167895435
ACVR1,reversible,0.3242376380120199,1.20068605163959
ACVR1B,persistent,0.3583251292943575,0.0244387100034472
ACYP1,reversible,0.3761431559350554,0.0869735182784793
ADAM10,reversible,0.2403768212436597,0.229646012320194
ADAM12,reversible,0.3855835178582681,1.1820001664098805
ADAM33,reversible,0.3056269735413562,0.1139956167362825
ADAM9,reversible,0.399170408773813,0.0360342373543598
ADAMTS4,reversible,0.5303919234711887,2.206852802579665
ADAMTS7,persistent,0.4013162903151921,0.1195365624025981
ADAMTS9,persistent,0.4127730600479059,0.0862369808281529
ADARB1,persistent,0.2492241770103049,0.0304410215148708
ADCK5,reversible,0.2936065470397855,0.383539737907192
ADCY3,reversible,0.3203289018629413,0.6493928390001862
ADGRE2,reversible,0.5726848647213523,0.263300220807124
ADH1B,reversible,0.4582348308888467,2.028613748108376
ADH1C,reversible,0.4141044837343183,1.7342137017405117
ADI1,reversible,0.2296884287772938,0.5200872259087674
ADORA2A,reversible,0.3196096331340315,0.4758749542301065
ADPGK,persistent,0.2725697049327514,0.2634162607855289
ADPRHL1,reversible,0.3906830522197976,0.3541094687658214
ADTRP,reversible,0.3696939055999423,0.7968898525987861
AEBP2,reversible,0.2784144624683876,0.8121217363520251
AFF4,persistent,0.2626538925311167,0.2530532332843988
AFG3L2,persistent,0.2171162474274108,0.0705792089251341
AGAP2,reversible,0.3333574099423715,0.5525757372347497
AGER,reversible,0.3983033519694146,0.1463512383211203
AGGF1,persistent,0.3006635598626249,0.0099376431737383
AGPAT2,reversible,0.4023857109526253,1.5456044492619248
