panel,beta,se,p,p_bonf,sig_bonf
liver_table,-0.0001324053934285,0.0054984813380797,0.980788511644601,1.0,False
adipose_table,-0.004703355866696,0.0064638994008766,0.466837388056761,1.0,False
gse141221_adipose_table,-0.00104569730866,0.0059445930952294,0.8603667718404104,1.0,False
gse273902_blood_table,-0.016635726547525,0.0099712158354855,0.0952413212550053,1.0,False
gse157585_muscle_table,-0.002590863735967,0.0054000994115403,0.6313833035361873,1.0,False
gse43471_adipose_table,-0.0076553126109434,0.0071117591560027,0.2817348844034391,1.0,False
gse83352_muscle_exercise_table,-0.0048507542300492,0.0101132240617719,0.6314800623921708,1.0,False
gse106737_liver_bariatric_table,0.0001424873372764,0.0070039179801001,0.983768998269848,1.0,False
gse77962_adipose_diet_table,-0.0088666362801884,0.0101503565148644,0.3823745111128834,1.0,False
